Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
whimper	-1.14	-1	-1	0.857142857142857	7	-1,-1,-1,-1,-1,-1,-2
pedantically	-2.00	-2	-2	1	7	-2,-2,-2,-2,-2,-2,-2
million	0.20	0	0	0.8	10	0,0,0,0,0,0,0,0,1,1
plummet	-2.00	-2	-2	1	8	-2,-2,-2,-2,-2,-2,-2,-2
unwashed	-2.00	-2	-2	1	7	-2,-2,-2,-2,-2,-2,-2
straight games	1.55	2	2	0.727272727272727	11	2,2,2,2,2,2,2,0,1,0,2
soap	0.00	0	0	0.948717948717949	117	0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
timely	2.80	3	3	0.8	5	3,3,3,2,3
censure	-1.89	-2	-2	0.888888888888889	9	-2,-2,-2,-2,-2,-2,-1,-2,-2
hairless	-1.50	-2	-2	0.5	8	-2,-1,-1,-1,-2,-2,-1,-2
quarterstaff	-1.14	-1	-2	0.428571428571429	7	-1,-1,-2,-2,-2,0,0
punished	-2.14	-2	-2	0.857142857142857	7	-2,-2,-2,-2,-3,-2,-2
maudlin	-1.75	-2	-2	0.75	8	-1,-2,-2,-2,-1,-2,-2,-2
congratulatory	3.00	3	3	1	7	3,3,3,3,3,3,3
youngling	2.38	2	3	0.625	8	1,3,3,3,3,2,3,1
erosive	-1.78	-2	-2	0.888888888888889	9	-2,-2,-2,-2,-2,0,-2,-2,-2
hopeful	3.00	3	3	1	7	3,3,3,3,3,3,3
hypertension	-1.62	-2	-2	0.75	8	-2,0,-2,-2,-2,-2,-1,-2
mousetrap	-1.38	-1	-2	0.5	8	-2,-1,-2,-2,0,-2,-1,-1
rumour	-1.90	-2	-2	0.6	10	-2,-2,-2,-1,-2,-2,-2,-3,0,-3
lazy	-1.88	-2	-2	0.875	8	-2,-2,-2,-2,-2,-1,-2,-2
exploratory	2.25	2	2	0.75	8	3,2,2,2,2,2,2,3
primates	1.62	2	3	0.375	8	0,1,3,1,3,0,2,3
freestanding	0.10	0	0	0.9	10	0,0,0,0,0,0,0,0,0,1
warble	1.12	1	2	0.375	8	2,2,2,1,1,0,0,1
craftwork	2.00	2	2	0.777777777777778	9	2,2,1,2,2,2,2,2,3
namelessness	-1.86	-2	-2	0.857142857142857	7	-2,-2,-1,-2,-2,-2,-2
hypoplasia	-1.33	-1	-2	0.666666666666667	9	-2,-2,0,-2,-2,0,-2,-2,0
undetected	-0.57	-1	0	0.571428571428571	7	0,-2,-1,0,0,0,-1
brother	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
endeavor	2.38	2	2	0.625	8	3,2,3,2,2,3,2,2
languishment	-2.00	-2	-2	0.714285714285714	7	-1,-3,-2,-2,-2,-2,-2
naturism	1.00	1	2	0.5	8	2,0,2,2,0,2,0,0
foster care	2.57	3	3	0.714285714285714	7	2,3,3,3,1,3,3
raggedness	-2.00	-2	-2	1	8	-2,-2,-2,-2,-2,-2,-2,-2
pyre	-2.25	-2	-2	0.5	8	-3,-3,-2,-1,-2,-2,-3,-2
blamefulness	-2.00	-2	-2	0.833333333333333	12	-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-1,-2
maximal	0.58	1	0	0.5	12	0,0,0,0,0,1,1,1,1,1,2,0
matriculate	0.55	1	0	0.636363636363636	11	2,0,0,1,0,0,0,1,2,0,0
useable	0.62	1	0	0.5	8	0,0,1,0,2,1,0,1
scare tactics	-2.14	-2	-2	0.857142857142857	7	-2,-2,-2,-3,-2,-2,-2
bonsoir	2.43	2	3	0.571428571428571	7	2,2,3,1,3,3,3
national security	2.70	3	3	0.7	10	3,2,3,3,3,3,3,3,2,2
anything	0.33	0	0	0.666666666666667	6	0,0,0,1,0,1
encumbrance	-1.57	-2	-2	0.571428571428571	7	-1,-1,-2,-2,-1,-2,-2
jubilance	3.00	3	3	1	7	3,3,3,3,3,3,3
deadhead	-1.67	-2	-2	0.833333333333333	6	-2,0,-2,-2,-2,-2
collegian	2.50	3	3	0.5	8	3,2,2,3,3,2,2,3
sunday	2.71	3	3	0.857142857142857	7	3,3,3,1,3,3,3
flood in	0.17	0	0	0.833333333333333	6	0,1,0,0,0,0
materialize	0.25	0	0	0.75	12	0,0,0,0,0,0,0,0,0,1,1,1
desk chair	0.50	1	0	0.7	10	0,0,0,0,0,0,0,1,2,2
lighten up	3.00	3	3	1	8	3,3,3,3,3,3,3,3
congruent	1.55	2	2	0.636363636363636	11	2,2,0,0,2,3,2,2,2,0,2
snow fall	-1.33	-1	-2	0.666666666666667	9	-2,0,-2,0,-2,-2,-2,0,-2
dropping	-0.45	0	0	0.636363636363636	11	0,0,0,0,0,0,0,-1,-1,-1,-2
frugality	1.90	2	2	0.9	10	2,2,2,2,2,2,2,1,2,2
freeware	1.14	1	1	0.857142857142857	7	2,1,1,1,1,1,1
anachronistic	-1.25	-1	-2	0.5	8	-2,0,-1,-1,-2,0,-2,-2
