Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
silk,pos lo ar,4,1,12,"7,16","3,50","3,80","2,20","4,58","2,54","1,02","0,15","1,02","0,15","5,62","0,96","2,29","1,83","6,31","2,54"
tune,pos lo ar,4,1,10,"7,45","4,55","4,00","2,59","4,67","2,71","1,02","0,15","1,02","0,15","5,11","0,44","1,53","1,25","2,20","1,69"
vision,pos lo ar,6,2,56,"6,50","4,75","5,60","2,36","5,80","2,36","1,02","0,15","1,02","0,15","5,38","0,98","1,91","1,51","3,67","2,70"
wish,pos lo ar,4,1,110,"7,32","5,32","6,80","2,12","6,93","2,05","1,02","0,15","1,02","0,15","6,68","1,39","2,57","2,41","2,93","2,32"
ace,pos hi ar,3,1,15,"6,14","4,95","3,73","2,51","4,22","2,51","1,02","0,15","1,02","0,15","5,80","1,20","1,89","1,68","6,09","3,05"
admired,pos hi ar,7,3,17,"7,81","5,97","5,16","2,42","5,71","2,43","1,04","0,21","1,02","0,15","7,04","1,19","2,76","2,27","2,22","1,86"
alive,pos hi ar,5,2,57,"7,79","5,62","5,59","2,44","5,95","2,53","1,02","0,15","1,02","0,15","6,66","1,36","2,98","2,37","3,61","2,48"
couple,pos hi ar,6,2,122,"7,96","7,38","6,42","2,05","6,95","2,20","1,09","0,43","1,02","0,15","5,79","0,99","2,40","1,97","6,74","2,16"
excitement,pos hi ar,10,3,32,"7,83","8,07","5,89","2,41","6,29","2,36","1,02","0,15","1,02","0,15","7,02","1,34","3,76","2,71","3,33","2,42"
gift,pos hi ar,4,1,33,"8,38","6,59","6,02","2,23","6,61","2,26","1,02","0,15","1,02","0,15","6,82","1,33","3,34","2,71","7,59","1,73"
gold,pos hi ar,4,1,52,"7,35","5,43","4,72","2,61","5,77","2,54","1,02","0,15","1,02","0,15","6,67","1,34","3,02","2,64","8,00","1,38"
hopeful,pos hi ar,7,2,12,"7,12","5,50","5,29","2,35","5,56","2,60","1,02","0,15","1,02","0,15","6,80","1,34","3,02","2,32","2,20","1,59"
snow,pos hi ar,4,1,59,"7,27","6,12","4,69","2,49","5,51","2,47","1,02","0,15","1,02","0,15","5,84","1,07","3,31","2,38","8,40","1,18"
sunlight,pos hi ar,8,2,17,"8,45","6,86","5,29","2,21","5,87","2,25","1,02","0,15","1,02","0,15","6,40","1,23","2,62","2,15","7,51","1,79"
surprised,pos hi ar,9,2,58,"7,66","7,31","6,16","2,15","6,31","2,17","1,02","0,15","1,02","0,15","5,71","0,97","3,00","2,28","4,47","2,91"
hungry,neg lo ar,6,2,23,"3,52","5,09","7,79","1,74","7,84","1,69","1,02","0,15","1,02","0,15","4,33","1,15","3,72","2,46","3,19","2,26"
bees,neg hi ar,4,1,15,"3,15","6,31","3,93","2,42","4,55","2,72","1,05","0,21","1,02","0,15","4,41","0,97","2,00","1,71","8,27","1,23"
ankle,unrel neu,5,2,8,"5,00","4,04","4,89","2,57","4,78","2,45","1,02","0,15","1,02","0,15","4,93","0,33","1,31","0,79","8,22","1,44"
arm,unrel neu,3,1,94,"5,21","2,92","5,89","2,34","6,07","2,57","1,02","0,15","1,02","0,15","5,04","0,30","1,38","0,91","8,18","1,63"
butter,unrel neu,6,2,27,"5,31","3,12","5,43","2,30","5,64","2,44","1,05","0,30","1,02","0,15","4,91","0,74","1,43","0,93","8,20","1,58"
contents,unrel neu,8,2,16,"4,97","4,44","4,07","2,61","4,64","2,71","1,02","0,15","1,02","0,15","4,98","0,15","1,24","0,65","2,64","2,09"
elbow,unrel neu,5,2,10,"5,32","4,10","4,91","2,63","5,02","2,63","1,02","0,15","1,02","0,15","4,81","0,98","1,26","0,82","7,91","2,13"
engine,unrel neu,6,2,50,"5,09","3,66","3,82","2,69","4,58","2,74","1,02","0,15","1,02","0,15","5,00","0,00","1,56","1,34","6,93","2,36"
farm,unrel neu,4,1,125,"5,65","4,19","3,25","2,06","4,09","2,50","1,02","0,15","1,02","0,15","5,02","0,26","1,64","1,14","7,55","1,91"
glacier,unrel neu,7,2,1,"5,39","4,04","2,64","1,79","3,67","2,36","1,02","0,15","1,02","0,15","5,09","0,56","1,69","1,43","7,29","2,23"
golfer,unrel neu,6,2,3,"5,46","3,62","3,40","2,45","4,27","2,54","1,02","0,15","1,02","0,15","5,04","0,30","1,49","1,16","7,44","1,93"
hay,unrel neu,3,1,19,"5,30","3,05","2,84","2,23","3,38","2,42","1,02","0,15","1,02","0,15","5,02","0,26","1,31","0,82","7,64","2,11"
ink,unrel neu,3,1,7,"5,08","4,00","4,75","2,85","4,86","2,46","1,00","0,00","1,02","0,15","4,95","0,30","1,20","0,55","7,02","2,41"
kerchief,unrel neu,8,2,1,"4,81","3,27","2,41","2,19","2,70","2,30","1,02","0,15","1,02","0,15","4,98","0,15","1,23","0,57","6,89","2,65"
ketchup,unrel neu,7,2,1,"5,68","4,52","5,25","2,63","5,70","2,46","1,02","0,15","1,02","0,15","5,05","0,21","1,64","1,37","8,20","1,39"
knot,unrel neu,4,1,8,"4,82","4,62","4,45","2,54","4,80","2,64","1,02","0,15","1,02","0,15","5,00","0,53","1,34","0,96","7,55","1,87"
manner,unrel neu,6,2,124,"5,62","4,41","4,58","2,44","4,73","2,29","1,02","0,15","1,02","0,15","5,22","1,00","1,40","0,94","2,16","2,01"
metal,unrel neu,5,2,61,"4,80","3,75","4,59","2,65","5,14","2,75","1,05","0,21","1,02","0,15","4,84","0,78","1,36","0,97","6,66","2,53"
passage,unrel neu,7,2,49,"5,12","4,31","4,16","2,39","4,40","2,35","1,07","0,33","1,02","0,15","5,07","0,50","1,31","0,76","4,27","2,63"
patent,unrel neu,6,2,35,"5,10","3,68","3,16","2,46","4,16","2,62","1,00","0,00","1,02","0,15","5,18","0,61","1,49","1,10","2,69","2,49"
prairie,unrel neu,7,2,21,"5,93","3,26","2,64","2,29","3,02","2,28","1,00","0,00","1,02","0,15","5,20","0,82","1,56","1,41","6,76","2,56"
quiet,unrel neu,5,2,76,"5,52","2,94","6,31","2,21","6,49","2,14","1,02","0,15","1,02","0,15","5,11","0,86","1,69","1,40","2,67","2,16"
salad,unrel neu,5,2,9,"5,91","3,84","6,64","2,34","6,73","2,32","1,02","0,15","1,02","0,15","5,57","1,11","2,00","1,73","8,18","1,23"
teacher,unrel neu,7,2,80,"5,62","3,67","6,29","2,28","7,00","2,15","1,00","0,00","1,02","0,15","5,60","1,03","1,86","1,69","6,87","2,36"
tower,unrel neu,5,2,13,"5,35","3,50","3,84","2,62","4,33","2,77","1,02","0,15","1,02","0,15","5,00","0,00","1,38","0,91","7,40","1,90"
truck,unrel neu,5,1,57,"4,96","4,96","5,49","2,44","6,16","2,59","1,02","0,15","1,02","0,15","4,98","0,15","1,65","1,27","8,40","1,12"
wagon,unrel neu,5,2,55,"5,41","3,91","2,87","2,28","3,56","2,63","1,02","0,15","1,02","0,15","5,00","0,00","1,24","0,53","7,58","2,05"
yellow,unrel neu,6,2,55,"5,58","4,77","5,40","2,27","5,64","2,44","1,07","0,33","1,02","0,15","5,24","0,65","1,95","1,80","8,49","1,41"
armchair,rel neu,8,2,4,,,"3,43","2,55","4,34","2,50","1,02","0,15","1,02","0,15","5,07","0,33","1,57","1,34","7,93","1,81"
bake,rel neu,4,1,12,"6,05","5,45","5,91","2,37","6,07","2,46","1,02","0,15","1,02","0,15","5,77","1,13","2,91","2,37","5,93","2,44"
balcony,rel neu,7,3,5,,,"4,40","2,61","4,64","2,62","1,02","0,15","1,02","0,15","5,20","0,51","1,73","1,36","7,82","1,66"
basement,rel neu,8,2,31,,,"3,47","2,59","4,04","2,69","1,04","0,21","1,02","0,15","4,84","0,56","1,27","0,72","7,09","2,20"
bowl,rel neu,4,1,23,"5,54","3,50","6,29","2,32","6,51","2,27","1,02","0,15","1,02","0,15","5,04","0,37","1,44","1,20","8,24","1,42"
cabinet,rel neu,7,3,17,"5,00","3,57","4,95","2,33","5,32","2,52","1,05","0,21","1,02","0,15","4,93","0,63","1,36","0,92","7,70","1,98"
carpet,rel neu,6,2,13,,,"5,31","2,47","5,47","2,63","1,02","0,15","1,02","0,15","5,07","0,33","1,27","0,86","7,91","1,87"
ceiling,rel neu,7,2,31,,,"4,88","2,58","4,98","2,47","1,02","0,15","1,02","0,15","5,12","0,63","1,33","0,92","7,70","1,95"
chimney,rel neu,7,2,7,,,"3,29","2,58","4,07","2,67","1,02","0,15","1,02","0,15","5,09","0,36","1,33","0,91","7,96","1,87"
clock,rel neu,5,1,20,"5,45","4,10","6,16","2,58","6,36","2,40","1,05","0,21","1,02","0,15","4,98","0,15","1,45","1,04","8,25","1,30"
cook,rel neu,4,1,47,"6,24","4,62","6,57","2,11","6,91","2,27","1,11","0,62","1,02","0,15","5,50","1,09","2,59","2,08","6,59","2,28"
couch,rel neu,5,1,12,,,"6,32","2,36","6,52","2,42","1,00","0,00","1,02","0,15","5,05","0,68","1,84","1,67","8,32","1,27"
cupboard,rel neu,8,2,2,,,"4,58","2,81","4,89","2,79","1,07","0,33","1,02","0,15","5,02","0,15","1,27","0,84","7,49","2,13"
curtains,rel neu,8,2,8,"4,68","3,68","4,96","2,49","5,38","2,55","1,02","0,15","1,02","0,15","4,91","0,60","1,40","0,84","8,36","1,19"
dish,rel neu,4,1,16,,,"6,11","2,27","6,32","2,38","1,02","0,15","1,02","0,15","4,98","0,15","1,23","0,71","7,66","2,15"
dresser,rel neu,7,2,1,,,"4,77","2,89","5,02","2,49","1,02","0,15","1,02","0,15","5,00","0,22","1,30","0,82","8,09","1,71"
dryer,rel neu,5,2,4,,,"6,13","2,30","6,18","2,55","1,02","0,15","1,02","0,15","5,00","0,37","1,44","1,14","7,78","1,77"
fireplace,rel neu,9,3,6,,,"4,29","2,61","4,64","2,62","1,02","0,15","1,02","0,15","5,49","0,92","2,33","1,86","8,20","1,18"
freezer,rel neu,7,2,1,,,"6,00","2,52","5,98","2,57","1,02","0,15","1,02","0,15","4,93","0,63","1,41","0,95","7,89","1,62"
hammer,rel neu,6,2,9,"5,00","4,50","3,80","2,34","4,67","2,71","1,02","0,15","1,02","0,15","4,95","0,30","1,53","1,08","8,31","1,44"
jar,rel neu,3,1,16,,,"4,27","2,63","4,84","2,78","1,02","0,15","1,02","0,15","4,93","0,45","1,25","0,58","8,27","1,53"
kettle,rel neu,6,2,3,"5,25","2,85","3,40","2,76","3,82","2,72","1,02","0,15","1,02","0,15","5,02","0,15","1,40","0,99","6,93","2,47"
ladder,rel neu,6,2,19,,,"3,69","2,55","4,40","2,67","1,02","0,15","1,02","0,15","5,00","0,00","1,44","0,97","8,16","1,67"
lawn,rel neu,4,1,15,"5,23","3,82","4,27","2,71","5,09","2,58","1,02","0,15","1,02","0,15","5,02","0,88","1,50","1,27","7,30","2,15"
mantel,rel neu,6,2,3,"4,96","2,88","3,13","2,79","3,73","2,60","1,02","0,15","1,02","0,15","5,00","0,00","1,13","0,34","6,44","2,68"
microwave,rel neu,9,3,2,,,"6,23","2,34","6,50","2,30","1,05","0,21","1,02","0,15","5,00","0,92","1,64","1,22","8,34","1,36"
mirror,rel neu,6,2,27,,,"6,57","2,30","6,64","2,34","1,00","0,00","1,02","0,15","5,09","0,60","1,61","1,26","8,14","1,59"
paint,rel neu,5,1,37,"6,05","3,86","5,02","2,64","5,48","2,69","1,05","0,30","1,02","0,15","5,32","0,83","2,05","1,94","7,57","1,85"
pan,rel neu,3,1,16,,,"5,18","2,67","5,04","2,53","1,02","0,15","1,02","0,15","4,98","0,15","1,22","0,67","7,78","2,07"
patio,rel neu,5,3,2,,,"4,33","2,42","4,82","2,42","1,02","0,15","1,02","0,15","5,09","0,36","1,73","1,67","7,67","1,98"
poster,rel neu,6,2,4,"5,25","3,33","4,67","2,35","5,13","2,56","1,02","0,15","1,02","0,15","5,07","0,25","1,36","0,80","7,82","1,68"
radiator,rel neu,8,4,4,"4,82","3,64","2,69","2,14","3,51","2,27","1,04","0,21","1,02","0,15","4,80","0,89","1,27","0,84","5,58","3,04"
range,rel neu,5,1,160,,,"4,38","2,56","4,44","2,55","1,02","0,15","1,02","0,15","5,00","0,00","1,20","0,59","2,11","1,95"
rinse,rel neu,5,1,6,,,"5,73","2,41","5,84","2,50","1,02","0,15","1,02","0,15","5,05","0,21","1,41","0,84","4,91","2,80"
screen,rel neu,6,1,48,,,"4,47","2,41","5,18","2,56","1,02","0,15","1,02","0,15","4,98","0,69","1,31","0,82","7,16","2,35"
seat,rel neu,4,1,54,"5,17","3,17","5,89","2,39","6,09","2,62","1,02","0,15","1,02","0,15","5,00","0,57","1,52","1,39","7,56","2,04"
shine,rel neu,5,1,5,,,"5,00","2,59","5,27","2,34","1,02","0,15","1,02","0,15","6,13","1,10","2,29","1,95","5,33","2,71"
shovel,rel neu,6,2,5,,,"3,42","2,40","3,96","2,48","1,02","0,15","1,02","0,15","4,96","0,30","1,18","0,49","8,09","1,65"
sink,rel neu,4,1,23,,,"5,64","2,57","5,95","2,55","1,00","0,00","1,02","0,15","5,12","0,63","1,31","0,84","8,05","1,61"
soap,rel neu,4,1,22,,,"6,11","2,29","6,09","2,43","1,02","0,15","1,02","0,15","5,31","0,87","1,33","0,83","8,09","1,58"
sofa,rel neu,4,2,6,,,"4,69","2,75","5,60","2,49","1,02","0,15","1,02","0,15","5,29","0,84","1,87","1,80","8,31","1,33"
steps,rel neu,5,1,119,,,"5,67","2,55","6,13","2,71","1,02","0,15","1,02","0,15","5,07","0,25","1,41","1,13","7,18","2,47"
stereo,rel neu,6,3,12,,,"4,68","2,55","5,30","2,36","1,02","0,15","1,02","0,15","5,23","0,57","1,64","1,30","7,57","1,93"
stove,rel neu,5,1,15,"4,62","4,69","5,53","2,49","5,44","2,60","1,02","0,15","1,02","0,15","5,07","0,45","1,47","1,01","8,13","1,44"
table,rel neu,5,2,198,"5,19","2,85","6,47","2,35","6,69","2,43","1,02","0,15","1,02","0,15","4,89","0,61","1,36","0,93","8,36","1,33"
terrace,rel neu,7,2,9,,,"3,11","2,42","3,61","2,52","1,02","0,15","1,02","0,15","5,09","0,47","1,64","1,24","5,36","2,85"
towel,rel neu,5,2,6,,,"6,39","2,17","6,11","2,51","1,02","0,15","1,02","0,15","5,11","0,62","1,32","0,86","8,20","1,37"
vase,rel neu,4,1,4,,,"3,98","2,47","4,35","2,35","1,02","0,15","1,02","0,15","5,05","0,21","1,40","0,96","7,93","1,60"
bunny,pos lo ar,5,2,1,"7,70","3,80","4,20","2,52","4,71","2,47","1,02","0,15","1,00","0,00","5,82","1,30","2,47","2,04","8,47","1,08"
cake,pos lo ar,4,1,9,"7,26","4,91","5,50","2,09","5,98","2,26","1,00","0,00","1,00","0,00","6,07","1,27","3,07","2,29","8,63","0,69"
color,pos lo ar,5,2,141,"7,00","4,82","6,44","2,07","6,56","2,25","1,00","0,00","1,00","0,00","5,51","0,94","2,20","1,87","6,18","2,88"
movie,pos lo ar,5,2,29,"6,93","4,86","7,22","1,89","7,71","1,98","1,02","0,15","1,00","0,00","5,87","1,06","3,14","2,39","6,82","2,29"
peace,pos lo ar,5,1,198,"8,20","2,05","5,91","2,44","6,38","2,47","1,00","0,00","1,00","0,00","7,42","1,34","3,42","2,62","4,00","3,16"
pillow,pos lo ar,6,2,8,"7,95","2,45","6,47","2,33","6,00","2,60","1,00","0,00","1,00","0,00","5,47","0,79","2,09","1,86","8,62","0,89"
sunrise,pos lo ar,7,2,10,"7,91","5,04","4,96","2,27","5,38","2,53","1,00","0,00","1,00","0,00","6,53","1,36","3,16","2,38","8,27","1,14"
sunset,pos lo ar,6,2,14,"8,19","4,23","5,61","2,37","6,11","2,42","1,02","0,15","1,00","0,00","6,89","1,37","3,50","2,47","8,50","0,88"
bouquet,pos hi ar,7,2,4,"7,55","5,85","4,04","2,16","4,60","2,44","1,00","0,00","1,00","0,00","5,89","1,01","2,22","1,89","7,53","2,17"
brave,pos hi ar,5,1,24,"7,55","6,35","4,91","2,22","5,72","2,42","1,02","0,15","1,00","0,00","6,93","1,28","3,12","2,43","3,07","2,09"
bright,pos hi ar,6,1,87,"7,91","5,62","5,73","2,42","5,40","2,65","1,04","0,30","1,00","0,00","6,51","1,25","2,91","2,43","5,93","2,86"
song,pos hi ar,4,1,70,"7,85","6,80","7,05","2,13","7,21","2,41","1,00","0,00","1,00","0,00","5,58","1,18","2,35","2,24","3,70","2,43"
star,pos hi ar,4,1,25,"7,23","5,73","5,60","2,02","5,82","2,40","1,02","0,15","1,00","0,00","6,22","1,17","2,80","2,23","8,18","1,23"
bandage,unrel neu,7,2,4,"5,05","4,19","4,56","2,51","5,07","2,54","1,02","0,15","1,00","0,00","5,16","1,02","1,42","0,91","8,05","1,62"
circle,unrel neu,6,2,60,"6,00","4,24","5,47","2,30","5,51","2,65","1,00","0,00","1,00","0,00","4,95","0,65","1,26","0,66","8,58","1,18"
cord,unrel neu,4,1,6,"5,23","3,27","4,18","2,79","4,33","2,69","1,02","0,15","1,00","0,00","4,93","0,45","1,27","0,94","7,71","1,95"
fabric,unrel neu,6,2,15,"5,38","4,32","4,42","2,67","4,69","2,52","1,00","0,00","1,00","0,00","5,04","0,30","1,51","1,18","6,73","2,43"
icebox,unrel neu,6,2,3,"4,91","3,59","2,52","2,32","3,27","2,38","1,02","0,15","1,00","0,00","5,14","0,67","1,41","1,09","6,98","2,57"
item,unrel neu,4,2,54,"5,20","2,95","5,18","2,67","5,56","2,58","1,02","0,15","1,00","0,00","5,02","0,15","1,33","0,85","3,89","2,79"
museum,unrel neu,6,2,32,"5,62","3,00","4,57","2,63","4,77","2,37","1,00","0,00","1,00","0,00","5,27","0,73","1,93","1,78","7,16","2,33"
pencil,unrel neu,6,2,34,"5,19","3,19","6,64","2,34","6,60","2,51","1,00","0,00","1,00","0,00","4,93","0,45","1,22","0,60","8,58","1,10"
quart,unrel neu,5,1,3,"5,33","3,17","3,16","2,39","3,84","2,51","1,02","0,15","1,00","0,00","5,02","0,15","1,36","0,94","4,58","3,17"
ship,unrel neu,4,1,83,"5,75","4,75","3,98","2,80","4,64","2,66","1,02","0,15","1,00","0,00","5,04","0,30","1,38","0,98","8,18","1,25"
spray,unrel neu,5,1,16,"5,45","3,80","4,76","2,40","5,04","2,56","1,02","0,15","1,00","0,00","4,87","0,41","1,47","1,04","5,93","2,61"
appliance,rel neu,9,3,5,"5,15","3,85","3,95","2,39","5,07","2,42","1,00","0,00","1,00","0,00","5,02","0,15","1,33","1,03","7,00","2,02"
book,rel neu,4,1,193,"5,55","4,20","7,04","2,24","7,29","2,05","1,00","0,00","1,00","0,00","5,31","1,22","1,67","1,21","8,49","1,20"
chair,rel neu,5,1,66,"5,00","3,07","6,52","2,51","6,66","2,48","1,00","0,00","1,00","0,00","5,07","0,59","1,50","1,37","8,39","1,24"
desk,rel neu,4,1,65,,,"5,98","2,42","6,02","2,29","1,02","0,15","1,00","0,00","5,05","0,31","1,28","0,70","8,26","1,27"
furniture,rel neu,9,3,39,,,"5,42","2,37","5,96","2,42","1,02","0,15","1,00","0,00","5,07","0,25","1,40","0,96","7,78","1,72"
glass,rel neu,5,1,99,"4,92","4,15","6,20","2,31","6,25","2,48","1,00","0,00","1,00","0,00","5,02","0,15","1,30","0,82","7,59","1,91"
lamp,rel neu,4,1,18,"5,75","3,90","5,18","2,49","5,42","2,50","1,02","0,15","1,00","0,00","5,18","0,65","1,22","0,64","8,18","1,51"
picture,rel neu,7,2,162,,,"6,62","2,21","6,93","2,25","1,09","0,60","1,00","0,00","5,49","0,99","2,29","2,10","7,71","1,63"
plant,rel neu,5,1,125,"5,88","3,81","5,25","2,26","5,43","2,46","1,00","0,00","1,00","0,00","5,05","0,48","1,48","1,25","7,98","1,62"
roof,rel neu,4,1,59,,,"4,69","2,58","5,09","2,64","1,00","0,00","1,00","0,00","5,02","0,15","1,27","0,92","8,00","1,62"
shower,rel neu,6,2,15,,,"7,40","2,12","7,47","1,95","1,02","0,15","1,00","0,00","5,80","1,22","2,11","1,87","7,93","1,74"
sponge,rel neu,6,1,7,,,"4,64","2,63","4,87","2,71","1,00","0,00","1,00","0,00","5,00","0,00","1,20","0,51","7,98","1,57"
stairs,rel neu,6,1,47,,,"6,22","2,28","6,13","2,50","1,00","0,00","1,00","0,00","4,98","0,15","1,40","1,36","8,38","1,27"
wash,rel neu,4,1,37,,,"6,72","2,38","6,93","2,18","1,00","0,00","1,00","0,00","5,26","0,76","1,67","1,43","5,84","2,47"
window,rel neu,6,2,119,"5,87","3,87","6,36","2,25","6,52","2,38","1,00","0,00","1,00","0,00","5,05","0,21","1,52","1,13","8,34","1,40"
