Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
knockers,taboo,8,2,,,,"1,80","1,75","3,58","2,24","2,64","1,98","4,31","2,75","4,22","1,44","3,36","2,18","4,89","2,83"
prick,taboo,5,1,2,"3,45","5,27","2,32","1,52","3,82","1,85","3,50","2,55","4,30","2,68","2,98","1,71","3,82","2,31","2,77","2,27"
crap,taboo,4,1,,,,"5,67","2,35","6,18","2,04","1,91","1,56","4,24","2,04","3,22","0,90","2,76","1,80","3,98","3,07"
erotic,pos hi ar,6,3,8,"6,73","6,77","3,23","2,16","5,02","2,43","1,91","1,55","4,20","2,23","5,02","1,41","4,75","2,31","3,23","2,30"
testicles,taboo,9,3,,,,"3,04","2,52","4,27","2,58","1,80","1,46","4,16","2,06","4,51","1,04","3,89","2,27","6,29","2,63"
twat,taboo,4,1,,,,"1,50","1,02","1,84","1,12","2,95","2,47","4,16","3,01","3,66","1,64","3,67","2,79","2,02","1,97"
cunnilingus,taboo,11,4,,,,"1,47","1,12","2,23","2,08","1,91","1,97","4,09","3,27","4,72","1,20","4,14","3,23","2,84","2,83"
damn,taboo,4,1,,,,"6,73","2,20","7,27","1,85","1,87","1,33","4,09","2,37","3,27","1,07","3,27","1,99","1,49","1,29"
semen,taboo,5,2,,,,"3,09","2,31","4,58","2,33","1,71","1,25","4,04","2,16","4,71","0,84","3,87","2,33","6,13","2,98"
kike,taboo,4,1,,,,"1,24","0,82","1,79","1,57","3,10","2,73","4,02","3,44","3,48","1,67","3,64","3,02","1,83","1,72"
hell,taboo,4,1,95,"1,67","6,05","5,58","2,32","6,49","2,24","1,73","1,36","4,00","2,23","2,33","1,23","3,16","2,45","4,09","2,66"
intercourse,pos hi ar,11,3,9,"7,05","6,68","3,39","2,22","5,41","2,41","1,48","1,02","3,95","2,59","5,16","1,40","4,55","2,40","6,39","2,29"
turd,taboo,4,1,,,,"1,86","1,37","3,14","2,01","2,18","1,54","3,91","2,04","3,45","1,36","2,75","1,94","4,55","2,99"
alcoholic,neg hi ar,9,4,3,"2,00","6,00","5,16","2,44","6,64","2,22","2,39","2,30","3,84","2,59","2,55","1,52","3,64","2,30","4,89","2,51"
fart,taboo,4,1,,,,"4,13","2,56","5,82","2,18","1,71","1,08","3,80","2,13","3,73","0,96","3,24","1,87","3,64","2,77"
fornicate,taboo,9,3,,,,"1,98","1,71","3,42","2,49","2,20","1,91","3,80","2,49","4,27","1,30","3,91","2,43","3,56","3,00"
